1636773450344|SEVERE|org.arl.unet.sim.HalfDuplexModem/Base@2642:die|Agent phy died: java.lang.NullPointerException
1636773485351|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773485351|INFO|AUV1_Agent/1@2624:println|AUV-1 [1856.3500000000001, 0.0, 0.0]
1636773487019|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773487019|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773487019|INFO|AUV1_Agent/1@2624:println|AUV-1 [1939.75, 0.0, 0.0]
1636773488686|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773488686|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773488694|INFO|AUV1_Agent/1@2624:println|AUV-1 [2023.5, 0.0, 0.0]
1636773490350|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773490350|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773490350|INFO|AUV1_Agent/1@2624:println|AUV-1 [2106.2999999999997, 0.0, 0.0]
1636773492011|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773492011|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773492011|INFO|AUV1_Agent/1@2624:println|AUV-1 [2189.35, 0.0, 0.0]
1636773493678|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773493678|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773493678|INFO|AUV1_Agent/1@2624:println|AUV-1 [2272.7, 0.0, 0.0]
1636773495354|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773495354|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773495354|INFO|AUV1_Agent/1@2624:println|AUV-1 [2356.5, 0.0, 0.0]
1636773497019|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773497019|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773497019|INFO|AUV1_Agent/1@2624:println|AUV-1 [2439.75, 0.0, 0.0]
1636773498679|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773498679|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773498679|INFO|AUV1_Agent/1@2624:println|AUV-1 [2522.75, 0.0, 0.0]
